OpenFF Gen 2 Torsion Set 2 Coverage
b3lyp-d3bj
dzvp
# QCAProc     QCAMol       QMEne            ScanType     Atoms        ScanVal MMEnergyA   SmilesMapped                                                   
QCP-18045415 QCM-11806072 -2.9100380599e+03 dihedral     0-1-2-7      -165.0000    19.8450 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11794883 -2.9100359961e+03 dihedral     0-1-2-7      -150.0000    21.4961 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11805605 -2.9100340331e+03 dihedral     0-1-2-7      -135.0000    22.9854 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11816179 -2.9100338510e+03 dihedral     0-1-2-7      -120.0000    21.8403 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11831746 -2.9100361464e+03 dihedral     0-1-2-7      -105.0000    20.4626 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11815748 -2.9100396576e+03 dihedral     0-1-2-7      -90.0000    18.5387 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11805380 -2.9100418127e+03 dihedral     0-1-2-7      -75.0000    17.4725 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11767136 -2.9100410762e+03 dihedral     0-1-2-7      -60.0000    17.9936 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11780480 -2.9100383936e+03 dihedral     0-1-2-7      -45.0000    19.4488 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
QCP-18045415 QCM-11796029 -2.9100349321e+03 dihedral     0-1-2-7      -30.0000    21.7067 [H:9][C:2]([H:10])([c:1]1[n:4][n:5][n:6][n:7]1[H:13])[C:3]([H:11])([H:12])[Br:8]
